Unnamed: 0,Unnamed: 0.1,title,description,published date,url,publisher,company
0,0,AMZN: Buy or Hold this Week: Amazon.com (AMZN) - StockNews.com,AMZN: Buy or Hold this Week: Amazon.com (AMZN)  StockNews.com,"Wed, 07 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vc3RvY2tuZXdzLmNvbS9uZXdzL2Ftem4tdHJ2Zy10em9vLXllbHAtdnotdC10bXVzLWJ1eS1vci1ob2xkLXRoaXMtd2Vlay1hbWF6b24tY29tLWFtem4v0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://stocknews.com', 'title': 'StockNews.com'}",AMZN
1,1,Photos: A day in the life of an Amazon delivery driver - About Amazon,Photos: A day in the life of an Amazon delivery driver  About Amazon,"Wed, 31 May 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3LmFib3V0YW1hem9uLmNvbS9uZXdzL3RyYW5zcG9ydGF0aW9uL3Bob3Rvcy1kYXktaW4tdGhlLWxpZmUtYW1hem9uLWRlbGl2ZXJ5LWRyaXZlctIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.aboutamazon.com', 'title': 'About Amazon'}",AMZN
2,2,Is Amazon.com (NASDAQ:AMZN) Using Too Much Debt? - Yahoo Finance,Is Amazon.com (NASDAQ:AMZN) Using Too Much Debt?  Yahoo Finance,"Sat, 03 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hbWF6b24tY29tLW5hc2RhcS1hbXpuLXVzaW5nLTEyMDAzMzE1MS5odG1s0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",AMZN
3,3,"Amazon Alexa Data Could Be Accessed by 30,000 Employees, FTC Says (AMZN) - Bloomberg","Amazon Alexa Data Could Be Accessed by 30,000 Employees, FTC Says (AMZN)  Bloomberg","Thu, 01 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTA2LTAxL3RoaXJ0eS10aG91c2FuZC1hbWF6b24td29ya2Vycy1jb3VsZC1hY2Nlc3MtYWxleGEtZGF0YS1mdGMtc2F5c9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AMZN
4,4,Amazon delays virtual care service's unveiling after senators raised privacy concerns - POLITICO,Amazon delays virtual care service's unveiling after senators raised privacy concerns  POLITICO,"Fri, 23 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMihgFodHRwczovL3d3dy5wb2xpdGljby5jb20vbmV3cy8yMDIzLzA2LzIzL2FtYXpvbi1kZWxheXMtdmlydHVhbC1jYXJlLXNlcnZpY2VzLXVudmVpbGluZy1hZnRlci1zZW5hdG9ycy1yYWlzZWQtcHJpdmFjeS1jb25jZXJucy0wMDEwMzQ1MdIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.politico.com', 'title': 'POLITICO'}",AMZN
5,5,Does Bill Gates's Warning Mean You Should Sell Amazon Stock? - InvestorPlace,Does Bill Gates's Warning Mean You Should Sell Amazon Stock?  InvestorPlace,"Fri, 23 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vaW52ZXN0b3JwbGFjZS5jb20vMjAyMy8wNi9kb2VzLWJpbGwtZ2F0ZXNzLXdhcm5pbmctbWVhbi15b3Utc2hvdWxkLXNlbGwtYW16bi1zdG9jay_SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://investorplace.com', 'title': 'InvestorPlace'}",AMZN
6,6,Amazon staff protest climate record and office return - BBC.com,Amazon staff protest climate record and office return  BBC.com,"Wed, 31 May 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiKmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9idXNpbmVzcy02NTc3MDExONIBLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9idXNpbmVzcy02NTc3MDExOC5hbXA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bbc.com', 'title': 'BBC.com'}",AMZN
7,7,Be Wary Of Amazon.com (NASDAQ:AMZN) And Its Returns On Capital - Yahoo Finance,Be Wary Of Amazon.com (NASDAQ:AMZN) And Its Returns On Capital  Yahoo Finance,"Mon, 08 May 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy93YXJ5LWFtYXpvbi1jb20tbmFzZGFxLWFtem4tMTEwMDI1OTM4Lmh0bWzSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",AMZN
8,8,Prime-Day-Is-Back-This-July-11--12-With-Big-Savings-New-Amazon-Exclusive-Deals-and-Celebrity-Product-Launches - Amazon Press Release,Prime-Day-Is-Back-This-July-11--12-With-Big-Savings-New-Amazon-Exclusive-Deals-and-Celebrity-Product-Launches  Amazon Press Release,"Tue, 20 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMikQFodHRwczovL3ByZXNzLmFib3V0YW1hem9uLmNvbS8yMDIzLzYvcHJpbWUtZGF5LWlzLWJhY2stdGhpcy1qdWx5LTExLTEyLXdpdGgtYmlnLXNhdmluZ3MtbmV3LWFtYXpvbi1leGNsdXNpdmUtZGVhbHMtYW5kLWNlbGVicml0eS1wcm9kdWN0LWxhdW5jaGVz0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://press.aboutamazon.com', 'title': 'Amazon Press Release'}",AMZN
9,9,"Amazon’s (AMZN) Alexa Defends Company Honor While Jabbing Google, Apple (AAPL) - Bloomberg","Amazon’s (AMZN) Alexa Defends Company Honor While Jabbing Google, Apple (AAPL)  Bloomberg","Wed, 14 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTA2LTE0L2FtYXpvbi1zLWFsZXhhLWRlZmVuZHMtY29tcGFueS1ob25vci13aGlsZS1qYWJiaW5nLXJpdmFsc9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AMZN
